case,badseed
0,10285057
0,10299204
0,10280324
0,10267991
0,10279484
0,10255170
1,10277750
1,10290902
1,10262817
1,10295396
1,10329086
1,10272857
1,10317662
1,10307355
1,10251597
1,10321058
1,10277195
1,10261981
1,10242097
1,10311823
1,10288034
1,10302311
1,10333700
1,10249904
1,10300904
1,10291009
1,10270950
1,10255517
1,10241769
1,10263437
1,10285932
1,10289241
1,10280031
1,10314722
1,10291480
1,10252636
1,10314450
1,10325364
1,10320077
1,10243383
1,10263063
1,10275116
1,10292130
1,10276352
1,10277538
1,10303327
1,10299326
1,10308644
1,10309357
1,10328135
1,10280862
1,10266208
1,10243441
1,10287171
1,10246768
1,10286950
1,10308039
1,10294142
1,10279253
1,10325367
1,10286122
1,10244573
1,10275792
1,10326883
1,10276066
1,10288863
1,10315610
1,10241755
1,10253547
1,10283046
1,10259523
1,10333540
1,10269695
1,10284079
0,10288485
0,10311338
0,10282579
0,10309087
0,10265976
0,10270427
0,10302735
0,10281799
0,10246570
0,10340283
0,10245345
0,10245708
0,10264433
0,10332745
0,10312575
0,10301746
0,10253179
0,10283780
0,10263207
0,10242782
0,10300588
0,10335757
0,10319772
0,10322990
0,10312583
0,10331506
0,10334983
0,10310615
0,10339327
0,10256258
0,10311474
0,10332379
0,10248687
0,10268630
0,10244519
0,10259024
0,10243467
0,10261795
0,10308351
0,10319449
0,10280593
0,10278391
0,10250877
0,10261836
0,10333175
0,10285021
0,10259676
0,10272963
0,10273887
0,10257564
0,10246029
0,10285883
0,10297103
0,10338906
0,10288228
0,10291434
0,10298603
0,10291921
0,10322715
0,10269419
0,10286975
0,10267611
0,10274233
0,10289890
0,10290265
0,10255139
0,10313124
0,10270442
0,10331110
0,10313260
0,10261432
0,10287456
0,10311933
0,10257433
0,10339045
0,10290137
0,10268408
0,10252512
0,10272270
0,10274424
0,10296473
0,10284238
0,10338695
0,10284924
0,10319293
0,10260282
0,10302921
0,10309470
0,10277047
0,10260086
0,10331230
0,10297111
0,10330205
0,10288309
0,10253754
0,10269041
0,10330352
0,10252485
0,10270255
0,10308689
0,10286177
0,10261316
0,10313153
0,10321095
0,10268675
0,10330307
0,10304392
0,10281345
0,10260461
0,10248234
0,10309127
0,10254255
0,10300684
0,10269409
0,10279589
0,10261184
0,10319410
0,10318291
0,10243905
0,10295350
0,10253213
0,10313344
0,10320111
0,10271096
0,10324968
0,10247121
0,10301204
0,10330590
0,10289407
0,10301523
0,10336055
0,10278965
0,10306383
0,10277662
0,10306086
0,10297195
0,10286011
0,10283921
0,10277578
0,10259521
0,10316718
0,10263943
0,10263595
0,10269953
0,10330222
0,10272502
0,10300503
0,10281011
0,10297928
0,10271527
0,10297606
0,10275404
0,10241288
0,10285373
0,10313192
0,10334323
0,10257011
0,10288481
0,10245589
0,10331026
0,10318050
0,10255861
0,10257022
0,10302610
0,10325413
0,10288820
0,10278466
0,10273276
0,10319669
0,10272737
0,10284780
0,10299031
0,10317900
0,10336957
0,10243061
0,10300388
0,10272232
0,10247911
0,10282902
0,10251699
0,10322253
0,10289960
0,10274463
0,10263786
0,10335395
0,10269950
0,10324470
0,10329623
1,10299433
1,10265200
1,10296629
1,10244771
1,10299998
1,10260424
1,10317412
1,10276587
1,10330305
1,10308363
1,10270956
1,10313639
1,10250958
1,10282389
1,10274955
1,10247425
1,10338891
1,10336765
1,10289785
1,10253341
1,10318488
1,10257178
1,10298110
1,10273018
1,10250166
1,10323120
1,10280635
1,10318122
1,10304104
1,10311651
1,10302343
1,10274217
1,10246014
1,10278740
1,10272612
1,10320826
1,10304467
1,10266072
1,10282059
1,10266579
1,10290418
1,10297940
1,10306800
1,10284786
1,10253114
1,10246390
1,10264464
1,10245133
1,10245783
1,10335459
1,10310897
1,10333815
1,10335990
1,10320035
1,10295251
1,10261822
1,10256301
1,10274540
1,10277904
1,10264927
1,10318449
1,10315232
1,10268929
1,10339347
1,10259931
1,10276837
1,10338462
1,10320510
1,10315034
1,10243374
1,10242449
1,10303247
1,10331235
1,10284590
1,10260963
1,10311643
1,10273766
1,10241241
1,10335089
1,10250719
1,10307625
1,10274623
1,10335078
1,10324174
1,10262761
1,10308513
1,10276670
1,10338427
1,10274868
1,10296693
1,10314938
1,10242840
1,10277206
1,10275795
1,10320599
1,10280915
1,10339313
1,10303570
1,10338342
1,10283714
1,10266574
1,10306648
1,10251887
1,10293952
1,10294444
1,10261043
1,10316663
1,10306781
1,10294440
1,10282242
1,10268959
1,10307571
1,10252144
1,10286732
1,10329954
1,10314984
1,10244336
1,10271591
1,10295668
1,10292982
1,10276178
1,10277123
1,10301782
1,10274194
1,10288503
1,10297450
1,10273196
1,10316670
1,10313330
1,10258057
1,10272147
1,10306276
1,10309068
1,10314084
1,10296245
