episode,seed,reward,steps,success,crash,timeout
1,20260307,-375.3828978657444,343,0,1,0
2,20260308,267.2735786499145,172,1,0,0
3,20260309,174.47600422635574,396,0,1,0
4,20260310,238.29076230701352,293,1,0,0
5,20260311,244.49301897223447,219,1,0,0
6,20260312,46.18128191190107,190,0,1,0
7,20260313,11.75180100032589,1000,0,0,1
8,20260314,276.96013004478596,216,1,0,0
9,20260315,16.088342683912927,1000,0,0,1
10,20260316,253.33200027319185,242,1,0,0
11,20260317,264.0955416768059,233,1,0,0
12,20260318,258.1205920938487,264,1,0,0
13,20260319,55.052312740777616,1000,0,0,1
14,20260320,-227.51308724045316,198,0,1,0
15,20260321,253.98755203825934,290,1,0,0
16,20260322,35.50815823413181,1000,0,0,1
17,20260323,51.31710769341506,1000,0,0,1
18,20260324,262.37203535207124,190,1,0,0
19,20260325,236.36568088712468,249,1,0,0
20,20260326,-361.251432021677,348,0,1,0
21,20260327,21.631717508225243,1000,0,0,1
22,20260328,-556.21546305672,601,0,1,0
23,20260329,48.72140670276985,1000,0,0,1
24,20260330,278.8294482125824,288,1,0,0
25,20260331,17.616660476129173,1000,0,0,1
26,20260332,239.56084566931398,272,1,0,0
27,20260333,63.83220579921006,1000,0,0,1
28,20260334,97.25602397083135,1000,0,0,1
29,20260335,290.39559939447565,214,1,0,0
30,20260336,-309.37646137750784,367,0,1,0
